Date,Price,Open,High,Low,Vol.,Change %
3-Jan-22,78.98,78.11,79.28,77.04,201.03K,1.54%
4-Jan-22,80,78.91,80.55,78.62,291.68K,1.29%
5-Jan-22,80.8,80.07,81.5,79.51,331.74K,1.00%
6-Jan-22,81.99,80.22,82.83,79.61,353.16K,1.47%
7-Jan-22,81.75,82,83,81.42,286.11K,-0.29%
10-Jan-22,80.87,81.76,82.3,80.5,300.65K,-1.08%
11-Jan-22,83.72,81.08,83.98,80.89,324.94K,3.52%
12-Jan-22,84.67,83.78,85.21,83.52,301.39K,1.13%
13-Jan-22,84.47,84.87,85.1,83.79,265.20K,-0.24%
14-Jan-22,86.06,84.12,86.5,83.99,304.72K,1.88%
17-Jan-22,86.48,86.15,86.71,85.54,139.82K,0.49%
18-Jan-22,87.51,86.47,88.66,86.44,356.88K,1.19%
19-Jan-22,88.44,88.65,89.17,87.61,350.94K,1.06%
20-Jan-22,88.38,87.89,89.5,87.05,279.52K,-0.07%
21-Jan-22,87.89,86.75,88.23,85.71,288.21K,-0.55%
24-Jan-22,86.27,87.93,88.9,85.04,309.89K,-1.84%
25-Jan-22,88.2,86.76,88.37,86.2,256.21K,2.24%
26-Jan-22,89.96,87.95,90.47,87.79,260.11K,2.00%
27-Jan-22,89.34,89.7,91.04,89,131.70K,-0.69%
28-Jan-22,90.03,89.98,91.7,89.41,102.01K,0.77%
31-Jan-22,91.21,90.8,91.48,90.61,11.01K,1.31%
1-Feb-22,89.16,89.62,89.96,87.72,271.77K,-2.25%
2-Feb-22,89.47,89.48,90.52,88.28,319.43K,0.35%
3-Feb-22,91.11,89.07,91.3,88.02,301.79K,1.83%
4-Feb-22,93.27,91.3,93.7,91.2,322.13K,2.37%
7-Feb-22,92.69,92.75,94,92.13,317.29K,-0.62%
8-Feb-22,90.78,92.63,92.93,89.93,368.55K,-2.06%
9-Feb-22,91.55,91.08,92.09,90.05,294.00K,0.85%
10-Feb-22,91.41,91.75,93.1,90.88,369.01K,-0.15%
11-Feb-22,94.44,91.17,95.66,90.51,452.11K,3.31%
14-Feb-22,96.48,95.2,96.78,93.44,373.09K,2.16%
15-Feb-22,93.28,95.81,96.26,92.06,378.25K,-3.32%
16-Feb-22,94.81,93.49,96.07,91.11,393.79K,1.64%
17-Feb-22,92.97,92.2,94.5,92.14,347.79K,-1.94%
18-Feb-22,93.54,92.73,94.15,90.12,348.35K,0.61%
21-Feb-22,95.39,94.29,97.4,92.57,217.04K,1.98%
22-Feb-22,96.84,96.55,99.5,95.8,316.38K,1.52%
23-Feb-22,96.84,96.65,98.71,95.81,238.63K,0.00%
24-Feb-22,99.08,98.08,105.79,97.56,167.79K,2.31%
25-Feb-22,97.93,100.69,101.99,96,68.98K,-1.16%
28-Feb-22,100.99,101.98,105.07,99.64,22.96K,3.12%
1-Mar-22,104.97,98.43,107.67,98.3,492.51K,3.94%
2-Mar-22,112.93,107.34,115.11,106.83,490.57K,7.58%
3-Mar-22,110.46,115.27,119.84,109.4,452.52K,-2.19%
4-Mar-22,118.11,114.23,118.98,109.62,334.41K,6.93%
7-Mar-22,123.21,122.79,139.13,119.04,419.93K,4.32%
8-Mar-22,127.98,124.56,133.15,121.31,469.99K,3.87%
9-Mar-22,111.14,130.28,131.64,105.6,521.58K,-13.16%
10-Mar-22,109.33,112.65,118.36,109,352.34K,-1.63%
11-Mar-22,112.67,110.26,113.91,107.13,287.39K,3.05%
14-Mar-22,106.9,113.15,113.15,103.49,265.91K,-5.12%
15-Mar-22,99.91,105.34,105.71,97.44,318.12K,-6.54%
16-Mar-22,98.02,99.14,103.7,96.93,246.82K,-1.89%
17-Mar-22,106.64,98.61,107.5,97.75,200.95K,8.79%
18-Mar-22,107.93,106.8,109.59,105.78,168.91K,1.21%
21-Mar-22,115.62,107.5,116.8,107.06,196.49K,7.12%
22-Mar-22,115.48,117.04,119.48,112.64,204.66K,-0.12%
23-Mar-22,121.6,114.7,122.34,114.45,224.53K,5.30%
24-Mar-22,119.03,121.56,123.74,116.93,177.66K,-2.11%
25-Mar-22,120.65,118.88,120.92,115.16,133.46K,1.36%
28-Mar-22,112.48,119.9,119.9,109.06,150.82K,-6.77%
29-Mar-22,110.23,110.1,114.83,104.84,93.68K,-2.00%
30-Mar-22,113.45,112,114.8,110.74,72.33K,2.92%
31-Mar-22,107.91,112.81,112.94,106.5,8.68K,-4.88%
1-Apr-22,104.39,105.25,106.24,102.35,238.62K,-3.26%
4-Apr-22,107.53,104.08,108.68,102.89,218.68K,3.01%
5-Apr-22,106.64,108.51,109.9,104.53,203.06K,-0.83%
6-Apr-22,101.07,105.7,108.67,100.54,286.52K,-5.22%
7-Apr-22,100.58,101.78,103.59,98.41,296.03K,-0.48%
8-Apr-22,102.78,101.42,103.3,99.65,217.64K,2.19%
11-Apr-22,98.48,103.21,103.3,97.57,238.69K,-4.18%
12-Apr-22,104.64,99.35,105.6,98.9,273.95K,6.26%
13-Apr-22,108.78,105.44,109,104.06,247.26K,3.96%
14-Apr-22,111.7,108.29,112.39,106.63,210.18K,2.68%
18-Apr-22,113.16,112.32,114.84,110.71,132.15K,1.31%
19-Apr-22,107.25,112.85,114.21,106.74,239.91K,-5.22%
20-Apr-22,106.8,108.1,109,104.65,243.67K,-0.42%
21-Apr-22,108.33,107.07,109.8,106.76,185.38K,1.43%
22-Apr-22,106.65,108.26,108.76,105.54,125.87K,-1.55%
25-Apr-22,102.32,105.49,105.85,99.48,156.35K,-4.06%
26-Apr-22,104.99,102.53,106.2,101.08,138.20K,2.61%
27-Apr-22,105.32,105.45,106.33,103.27,67.06K,0.31%
28-Apr-22,107.59,104.96,108,103.29,73.32K,2.16%
29-Apr-22,109.34,107.55,110.3,107,12.02K,1.63%
2-May-22,107.58,106.3,108.46,103.1,151.34K,-1.61%
3-May-22,104.97,107.61,108.32,104.62,184.20K,-2.43%
4-May-22,110.14,105.91,111,105.46,241.68K,4.93%
5-May-22,110.9,110.55,114,109.2,279.88K,0.69%
6-May-22,112.39,111.27,113.5,109.87,249.83K,1.34%
9-May-22,105.94,112.94,113.2,105,302.17K,-5.74%
10-May-22,102.46,105.5,106.96,101.54,327.99K,-3.28%
11-May-22,107.51,101.51,108.29,101.3,287.53K,4.93%
12-May-22,107.45,107.67,108.71,104.69,264.26K,-0.06%
13-May-22,111.55,108.25,111.69,107.79,220.32K,3.82%
16-May-22,114.24,111.67,114.79,108.84,218.44K,2.41%
17-May-22,111.93,114.42,115.69,111.09,277.89K,-2.02%
18-May-22,109.11,112.91,114.15,108.35,245.04K,-2.52%
19-May-22,112.04,108.22,112.31,105.7,272.35K,2.69%
20-May-22,112.55,111.45,113.23,110.52,180.89K,0.46%
23-May-22,113.42,112.85,114.34,111.86,196.51K,0.77%
24-May-22,113.56,112.79,114.63,111.7,191.73K,0.12%
25-May-22,114.03,114.12,115.3,113.01,152.33K,0.41%
26-May-22,117.4,114.35,118,113.85,123.58K,2.96%
27-May-22,119.43,117.52,119.72,116.63,81.16K,1.73%
30-May-22,121.67,119.28,122.01,118.98,42.41K,1.88%
31-May-22,122.84,122.2,125.28,121.6,11.56K,0.96%
1-Jun-22,116.29,116.08,118.57,115.4,242.16K,-5.33%
2-Jun-22,117.61,115.02,118.46,112.45,216.90K,1.14%
3-Jun-22,119.72,118.22,121.45,116.02,141.66K,1.79%
6-Jun-22,119.51,121.55,121.95,118.77,204.09K,-0.18%
7-Jun-22,120.57,119.94,121.37,118.55,276.72K,0.89%
8-Jun-22,123.58,120.65,124.4,120.45,256.29K,2.50%
9-Jun-22,123.07,123.6,124.34,122.5,218.98K,-0.41%
10-Jun-22,122.01,122.89,124.33,119.81,294.28K,-0.86%
13-Jun-22,122.27,121.94,123.7,118.93,257.11K,0.21%
14-Jun-22,121.17,121.88,125.19,118.91,291.26K,-0.90%
15-Jun-22,118.51,120.79,121.88,117.75,231.06K,-2.20%
16-Jun-22,119.81,119.65,120.29,115.56,276.68K,1.10%
17-Jun-22,113.12,119.13,121.25,111.72,319.91K,-5.58%
20-Jun-22,114.13,113.88,114.5,111.52,161.60K,0.89%
21-Jun-22,114.65,114.21,116.25,114.02,204.03K,0.46%
22-Jun-22,111.74,114.4,114.45,107.03,293.05K,-2.54%
23-Jun-22,110.05,109.58,112.7,108.04,195.92K,-1.51%
24-Jun-22,113.12,110.04,114,109.24,134.18K,2.79%
27-Jun-22,115.09,112.92,116.08,111.26,118.10K,1.74%
28-Jun-22,117.98,115.74,118.27,115.72,65.76K,2.51%
29-Jun-22,116.26,117.96,120.41,115.2,54.34K,-1.46%
30-Jun-22,114.81,116.01,116.67,114.22,7.11K,-1.25%
1-Jul-22,111.63,109.49,112.45,108.03,235.42K,-2.77%
4-Jul-22,113.5,111.65,114,110.4,100.59K,1.68%
5-Jul-22,102.77,113.54,114.75,101.1,428.84K,-9.45%
6-Jul-22,100.69,104.88,105.85,98.5,350.30K,-2.02%
7-Jul-22,104.65,100.14,106.35,98.5,279.66K,3.93%
8-Jul-22,107.02,104.65,107.47,103.67,238.35K,2.26%
11-Jul-22,107.1,107,107.7,103.64,194.66K,0.07%
12-Jul-22,99.49,106.25,106.56,98.9,275.62K,-7.11%
13-Jul-22,99.57,98.5,101.21,98.28,247.47K,0.08%
14-Jul-22,99.1,99.43,100.39,94.5,318.79K,-0.47%
15-Jul-22,101.16,99.91,102.64,98.17,218.09K,2.08%
18-Jul-22,106.27,100.82,106.48,99.46,213.50K,5.05%
19-Jul-22,107.35,105.74,107.61,103.6,226.40K,1.02%
20-Jul-22,106.92,107.07,107.45,105.08,186.70K,-0.40%
21-Jul-22,103.86,106.49,106.78,101.5,228.70K,-2.86%
22-Jul-22,103.2,103.86,105.72,101.9,137.24K,-0.64%
25-Jul-22,105.15,103.85,105.38,101.64,123.67K,1.89%
26-Jul-22,104.4,104.73,107.34,103.99,110.00K,-0.71%
27-Jul-22,106.62,104.75,107.86,103.73,77.69K,2.13%
28-Jul-22,107.14,107.31,109.06,106,80.84K,0.49%
29-Jul-22,110.01,108,110.67,106.9,9.13K,2.68%
1-Aug-22,100.03,103.92,104.43,99.09,272.84K,-9.07%
2-Aug-22,100.54,99.87,102.41,98.49,229.68K,0.51%
3-Aug-22,96.78,99.73,102.41,96.5,293.11K,-3.74%
4-Aug-22,94.12,97.1,97.66,93.2,264.81K,-2.75%
5-Aug-22,94.92,93.65,96.4,92.78,216.20K,0.85%
8-Aug-22,96.65,94.51,96.82,93.01,201.25K,1.82%
9-Aug-22,96.31,96.36,98.4,94.9,219.67K,-0.35%
10-Aug-22,97.4,96.34,97.97,93.63,247.74K,1.13%
11-Aug-22,99.6,97.04,100.17,96.63,219.42K,2.26%
12-Aug-22,98.15,99.33,100.38,96.94,188.13K,-1.46%
15-Aug-22,95.1,97.72,98.17,92.78,217.57K,-3.11%
16-Aug-22,92.34,94.01,95.95,91.71,217.75K,-2.90%
17-Aug-22,93.65,92.67,94.48,91.51,199.19K,1.42%
18-Aug-22,96.59,93.29,97.42,93.05,208.55K,3.14%
19-Aug-22,96.72,96.68,97.88,94.25,178.60K,0.13%
22-Aug-22,96.48,95.95,97.28,92.36,207.64K,-0.25%
23-Aug-22,97.51,96.84,98.05,96.54,,1.07%
